inventory_id,product_id,quantity_on_hand,low_stock_threshold,last_restocked_date,warehouse_location
1,1,45,10,"2024-01-15","WH-A1"
2,2,32,5,"2024-01-16","WH-A2"
3,3,78,20,"2024-01-17","WH-A3"
4,4,23,5,"2024-01-18","WH-A4"
5,5,56,15,"2024-01-19","WH-A5"
6,6,89,25,"2024-01-20","WH-A6"
7,7,34,10,"2024-01-21","WH-A7"
8,8,27,5,"2024-01-22","WH-A8"
9,9,41,10,"2024-01-23","WH-A9"
10,10,63,15,"2024-01-24","WH-A10"
11,11,18,3,"2024-01-25","WH-B1"
12,12,29,5,"2024-01-26","WH-B2"
13,13,37,8,"2024-01-27","WH-B3"
14,14,22,4,"2024-01-28","WH-B4"
15,15,31,6,"2024-01-29","WH-B5"
16,16,52,12,"2024-01-30","WH-B6"
17,17,74,20,"2024-01-31","WH-B7"
18,18,48,12,"2024-02-01","WH-B8"
19,19,35,8,"2024-02-02","WH-B9"
20,20,26,5,"2024-02-03","WH-B10"
21,21,19,3,"2024-02-04","WH-C1"
22,22,33,7,"2024-02-05","WH-C2"
23,23,44,10,"2024-02-06","WH-C3"
24,24,28,6,"2024-02-07","WH-C4"
25,25,39,9,"2024-02-08","WH-C5"
26,26,51,12,"2024-02-09","WH-C6"
27,27,36,8,"2024-02-10","WH-C7"
28,28,42,10,"2024-02-11","WH-C8"
29,29,25,5,"2024-02-12","WH-C9"
30,30,38,8,"2024-02-13","WH-C10"
31,31,21,4,"2024-02-14","WH-D1"
32,32,47,11,"2024-02-15","WH-D2"
33,33,58,14,"2024-02-16","WH-D3"
34,34,32,7,"2024-02-17","WH-D4"
35,35,45,10,"2024-02-18","WH-D5"
36,36,29,6,"2024-02-19","WH-D6"
37,37,17,3,"2024-02-20","WH-D7"
38,38,24,5,"2024-02-21","WH-D8"
39,39,35,7,"2024-02-22","WH-D9"
40,40,41,9,"2024-02-23","WH-D10"
41,41,53,13,"2024-02-24","WH-E1"
42,42,67,16,"2024-02-25","WH-E2"
43,43,38,8,"2024-02-26","WH-E3"
44,44,22,4,"2024-02-27","WH-E4"
45,45,49,11,"2024-02-28","WH-E5"
46,46,31,7,"2024-02-29","WH-E6"
47,47,44,10,"2024-03-01","WH-E7"
48,48,26,5,"2024-03-02","WH-E8"
49,49,33,7,"2024-03-03","WH-E9"
50,50,57,13,"2024-03-04","WH-E10"
51,51,42,10,"2024-03-05","WH-F1"
52,52,28,6,"2024-03-06","WH-F2"
53,53,63,15,"2024-03-07","WH-F3"
54,54,34,8,"2024-03-08","WH-F4"
55,55,19,3,"2024-03-09","WH-F5"
56,56,25,5,"2024-03-10","WH-F6"
57,57,38,8,"2024-03-11","WH-F7"
58,58,21,4,"2024-03-12","WH-F8"
59,59,46,11,"2024-03-13","WH-F9"
60,60,72,18,"2024-03-14","WH-F10"
61,61,29,6,"2024-03-15","WH-G1"
62,62,84,21,"2024-03-16","WH-G2"
63,63,37,8,"2024-03-17","WH-G3"
64,64,23,5,"2024-03-18","WH-G4"
65,65,51,12,"2024-03-19","WH-G5"
66,66,32,7,"2024-03-20","WH-G6"
67,67,45,10,"2024-03-21","WH-G7"
68,68,28,6,"2024-03-22","WH-G8"
69,69,39,9,"2024-03-23","WH-G9"
70,70,17,3,"2024-03-24","WH-G10"
71,71,42,10,"2024-03-25","WH-H1"
72,72,55,13,"2024-03-26","WH-H2"
73,73,31,7,"2024-03-27","WH-H3"
74,74,68,17,"2024-03-28","WH-H4"
75,75,43,10,"2024-03-29","WH-H5"
76,76,26,5,"2024-03-30","WH-H6"
77,77,49,12,"2024-03-31","WH-H7"
78,78,35,8,"2024-04-01","WH-H8"
79,79,52,13,"2024-04-02","WH-H9"
80,80,27,6,"2024-04-03","WH-H10"
81,81,64,16,"2024-04-04","WH-I1"
82,82,38,9,"2024-04-05","WH-I2"
83,83,45,11,"2024-04-06","WH-I3"
84,84,29,6,"2024-04-07","WH-I4"
85,85,36,8,"2024-04-08","WH-I5"
86,86,53,13,"2024-04-09","WH-I6"
87,87,41,10,"2024-04-10","WH-I7"
88,88,32,7,"2024-04-11","WH-I8"
89,89,47,11,"2024-04-12","WH-I9"
90,90,25,5,"2024-04-13","WH-I10"
91,91,39,9,"2024-04-14","WH-J1"
92,92,56,14,"2024-04-15","WH-J2"
93,93,33,7,"2024-04-16","WH-J3"
94,94,48,12,"2024-04-17","WH-J4"
95,95,61,15,"2024-04-18","WH-J5"
96,96,34,8,"2024-04-19","WH-J6"
97,97,27,6,"2024-04-20","WH-J7"
98,98,42,10,"2024-04-21","WH-J8"
99,99,59,14,"2024-04-22","WH-J9"
100,100,31,7,"2024-04-23","WH-J10"
