product_id,product_name,manufacturer_id,category,unit_cost,unit_price,sku,is_active
1,"Smartphone X1",1,"Electronics",450,799,"SPX1-001",true
2,"Laptop Pro 15",1,"Electronics",800,1299,"LP15-002",true
3,"Wireless Earbuds",2,"Electronics",45,99,"WEB-003",true
4,"4K Monitor 27in",3,"Electronics",180,299,"4KM27-004",true
5,"Mechanical Keyboard",4,"Electronics",35,79,"MK-005",true
6,"Gaming Mouse",5,"Electronics",25,59,"GM-006",true
7,"Bluetooth Speaker",6,"Electronics",30,69,"BTS-007",true
8,"Tablet Air",7,"Electronics",220,399,"TA-008",true
9,"Smart Watch",8,"Electronics",120,249,"SW-009",true
10,"Fitness Tracker",9,"Electronics",40,89,"FT-010",true
11,"DSLR Camera",10,"Electronics",500,899,"DC-011",true
12,"Action Camera",11,"Electronics",150,299,"AC-012",true
13,"Noise Cancelling Headphones",12,"Electronics",180,349,"NCH-013",true
14,"Gaming Console",13,"Electronics",300,499,"GC-014",true
15,"VR Headset",14,"Electronics",200,399,"VR-015",true
16,"External SSD 1TB",15,"Electronics",80,149,"ESSD1-016",true
17,"Wireless Charger",16,"Electronics",15,35,"WC-017",true
18,"USB-C Hub",17,"Electronics",20,45,"UCH-018",true
19,"Webcam HD",18,"Electronics",35,79,"WHD-019",true
20,"Microphone Studio",19,"Electronics",90,199,"MS-020",true
21,"Graphics Card",20,"Electronics",400,749,"GC-021",true
22,"Motherboard",21,"Electronics",120,249,"MB-022",true
23,"RAM 16GB",22,"Electronics",60,129,"RAM16-023",true
24,"Power Supply 750W",23,"Electronics",70,139,"PS750-024",true
25,"CPU Cooler",24,"Electronics",40,89,"CPUC-025",true
26,"Computer Case",25,"Electronics",50,119,"CC-026",true
27,"Network Switch",26,"Electronics",80,159,"NS-027",true
28,"WiFi Router",27,"Electronics",45,99,"WR-028",true
29,"Smart Home Hub",28,"Electronics",60,129,"SHH-029",true
30,"Security Camera",29,"Electronics",70,149,"SC-030",true
31,"Robot Vacuum",30,"Electronics",180,349,"RV-031",true
32,"Air Purifier",31,"Home Appliances",80,169,"AP-032",true
33,"Coffee Maker",32,"Home Appliances",45,99,"CM-033",true
34,"Blender Pro",33,"Home Appliances",35,79,"BP-034",true
35,"Toaster Oven",34,"Home Appliances",30,69,"TO-035",true
36,"Microwave",35,"Home Appliances",60,129,"MW-036",true
37,"Refrigerator",36,"Home Appliances",400,799,"RF-037",true
38,"Washing Machine",37,"Home Appliances",300,599,"WM-038",true
39,"Dishwasher",38,"Home Appliances",250,499,"DW-039",true
